,f_preferred_name,Fe,Mg,Si,Unnamed: 4
1065,HIP 2981 ,-0.55,-0.38,-0.47,
1067,HIP 35750 ,0.08,0.04,0.04,
1068,HIP 35751 ,0.05,0.19,0.13,
1069,HIP 101285 ,-0.7,-0.35,-0.48,
1070,HD 164059a ,0.05,0.04,-0.01,
1071,HIP 101292 ,0.16,0.12,0.11,
1073,HIP 68537 ,-0.62,-0.41,-0.43,
1074,HIP 3006 ,-0.11,-0.12,-0.12,
1076,HD 2326 ,0.1,0.14,0.17,
1078,HIP 3014 ,-0.36,-0.24,-0.19,
1080,2MASS 19544170+4347437 ,-0.08,-0.14,-0.13,
1081,HIP 68555 ,-0.26,-0.18,-0.14,
1082,HIP 101325 ,-0.51,-0.27,-0.43,
1083,HIP 3022 ,-0.68,-0.33,-0.46,
1084,HIP 35790 ,-0.06,0.09,0.06,
1085,HIP 3026 ,-1.12,-1.01,-1.02,
1086,HIP 3028 ,-0.3,-0.2,-0.24,
1087,HD 147609 ,-0.38,-0.25,-0.23,
1088,HIP 3031 ,-0.6,-0.19,-0.32,
1090,HIP 3033 ,0.16,0.26,0.12,
1091,HIP 68573 ,0.16,0.16,0.12,
1093,HIP 101345 ,0.08,0.15,0.07,
1094,HIP 101346 ,-0.52,-0.36,-0.43,
1096,HIP 68581 ,0.13,0.13,0.05,
1097,HIP 68586 ,0.31,0.25,0.31,
1100,HIP 68590 ,0.01,0.07,0.04,
1103,HIP 68593 ,0.05,0.03,0.02,
1104,HIP 68594 ,-2.67,-2.18,-2.35,
1105,HIP 68598 ,-0.3,-0.29,-0.27,
1106,HIP 35846 ,-0.06,0.06,0.04,
1107,HIP 101382 ,-0.62,-0.4,-0.28,
1108,HD 161285a ,-0.22,-0.34,-0.3,
1109,HIP 68619 ,0.06,0.12,0.08,
1110,HIP 3086 ,-0.07,0.05,-0.05,
1111,HIP 3092 ,0.16,0.43,0.29,
1112,HIP 3093 ,0.19,0.19,0.18,
1113,HIP 101399 ,0.22,0.22,0.22,
1114,2MASS 19172334+4412307 ,-0.11,-0.15,-0.12,
1115,HIP 68634 ,-0.05,-0.07,0.03,
1116,HIP 35872 ,0.14,0.06,0.2,
1117,HD 211512 ,-0.03,0.03,-0.05,
1118,HIP 3119 ,0.17,0.16,0.12,
1119,HIP 68662 ,-0.6,-0.29,-0.35,
1120,BD+60 00600 ,0.38,0.51,0.43,
1121,HIP 101434 ,-0.17,0.19,0.12,
1123,HIP 3132 ,-0.29,-0.04,-0.14,
1124,HIP 35902 ,0.16,0.22,0.17,
1125,HIP 101438 ,-0.16,-0.11,-0.06,
1126,2MASS 19142829+4805542 ,-0.09,-0.08,-0.12,
1129,HIP 3142 ,-0.35,-0.25,-0.34,
1130,HIP 101446 ,-0.04,-0.1,-0.23,
1131,HIP 68682 ,0.04,0.04,0.02,
1133,HIP 101467 ,-0.1,0.09,-0.05,
1134,HIP 35935 ,0.04,-0.07,0.26,
1135,HIP 3169 ,0.03,-0.02,0.0,
1136,HIP 3170 ,-0.24,-0.13,-0.2,
1137,HIP 101477 ,-0.01,-0.01,0.09,
1138,HIP 3174 ,0.2,0.37,0.2,
1139,HIP 3179 ,0.01,0.05,0.34,
1140,HIP 3181 ,-0.15,-0.09,-0.13,
1141,HIP 3182 ,-0.25,-0.04,-0.14,
1142,HIP 3185 ,-0.55,-0.24,-0.33,
1143,HD 188282 ,0.35,0.34,0.25,
1144,HIP 68727 ,-0.68,-0.52,-0.64,
1146,HIP 68737 ,0.12,0.13,0.15,
1147,HIP 3203 ,-0.02,-0.05,-0.09,
1148,HIP 68739 ,0.17,0.51,0.51,
