,f_preferred_name,Fe,Mg,Si,Unnamed: 4
9152,HIP 91606 ,0.11,0.22,0.24,
9154,HD 186759 ,-0.42,-0.4,-0.57,
9155,HIP 58843 ,-0.78,-0.48,-0.52,
9156,HIP 26079 ,-0.1,-0.05,-0.06,
9158,HIP 58849 ,0.3,0.58,0.52,
9160,BD+50 01471b ,0.32,0.36,0.35,
9161,HIP 26100 ,-0.45,-0.31,-0.26,
9162,HIP 91638 ,-0.1,-0.17,-0.12,
9163,2MASS 19482159+4123169 ,0.06,0.05,0.01,
9164,HIP 58874 ,-0.1,0.01,-0.17,
9165,HIP 58876 ,0.03,-0.07,-0.03,
9166,HIP 26109 ,-0.42,-0.3,-0.4,
9167,HIP 91645 ,-0.04,-0.04,-0.04,
9168,HIP 91649 ,-0.05,0.13,-0.06,
9170,HIP 26129 ,0.04,-0.04,-0.08,
9171,HIP 91666 ,-0.33,-0.09,-0.25,
9173,HIP 91673 ,-0.23,0.05,0.03,
9175,BD+48 02893 ,0.12,0.13,0.1,
9176,HIP 58919 ,-0.16,-0.09,-0.15,
9178,HIP 58924 ,-0.32,-0.12,-0.23,
9179,HIP 91700 ,-0.01,0.03,-0.02,
9180,HIP 91701 ,-0.06,0.03,-0.07,
9181,2MASS 19522290+4444134 ,0.05,0.02,0.04,
9182,HIP 58939 ,-0.05,0.14,0.04,
9183,HIP 91708 ,-0.39,-0.07,-0.15,
9184,HIP 58948 ,-0.35,-0.2,-0.17,
9185,HIP 58950 ,-0.18,-0.08,-0.15,
9186,HIP 58952 ,-0.3,0.07,-0.01,
9187,HIP 91726 ,0.17,-0.09,-0.03,
9188,HIP 58962 ,-0.78,-0.65,-0.7,
9189,HIP 58983 ,0.3,0.24,0.22,
9190,2MASS 19542140+4045024 ,0.08,-0.01,0.08,
9192,HIP 58989 ,-0.11,0.05,0.16,
9193,HD 156282 ,-0.32,-0.25,-0.36,
9194,2MASS 12211561+2609140 ,-0.03,-0.08,-0.05,
9195,2MASS 15085174+0220358 ,0.1,0.0,0.05,
9196,HIP 91768 ,-0.35,-0.25,-0.37,
9198,HIP 91773 ,0.07,0.39,0.21,
9199,HD 171384 ,0.06,0.17,0.04,
9200,HIP 91782 ,-0.2,-0.18,-0.15,
9202,HIP 91784 ,0.07,0.23,0.13,
9203,2MASS 07294207+1816332 ,-0.21,-0.12,-0.22,
9204,HIP 59021 ,-0.06,-0.07,-0.1,
9205,2MASS 19395651+4243396 ,-0.14,-0.11,-0.09,
9206,2MASS 19284912+3713163 ,0.15,0.08,0.17,
9207,HIP 91805 ,-0.35,-0.16,-0.31,
9208,HD 170174 ,0.39,-0.04,-0.04,
9209,HIP 26273 ,-0.4,-0.3,-0.38,
9210,HIP 91811 ,-0.26,-0.34,-0.4,
9211,HD 180112 ,0.02,0.0,0.07,
9212,HD 145958b ,0.02,-0.05,-0.02,
9213,HIP 91815 ,-0.11,-0.04,-0.05,
9214,HIP 91823 ,-0.2,0.06,0.01,
9215,2MASS 19063122+3856441 ,0.03,0.04,-0.07,
9216,2MASS 13503740-0648145 ,0.15,0.1,0.16,
9218,HIP 59080 ,-0.06,-0.01,-0.1,
9219,HIP 91852 ,-0.08,0.22,0.06,
9220,HIP 91854 ,0.12,0.24,0.29,
9221,BD+46 02729 ,-0.04,0.02,-0.09,
9222,HIP 91857 ,-0.14,-0.14,-0.12,
9223,HIP 91860 ,-0.23,-0.23,-0.25,
9224,HIP 26326 ,-0.14,-0.28,-0.09,
9226,2MASS 19023742+4504464 ,-0.43,-0.36,-0.39,
9227,2MASS 18582249+4626591 ,0.18,0.06,0.11,
9228,HIP 59109 ,-2.25,-1.94,-2.16,
9229,HIP 59110 ,0.36,0.23,0.27,
9230,HIP 91887 ,-0.57,-0.18,-0.31,
9231,HIP 91889 ,0.24,0.33,0.19,
9232,2MASS 18534876+4505029 ,0.08,-0.03,0.04,
9236,HIP 91901 ,0.12,0.1,0.23,
9237,HIP 26366 ,-0.55,-0.19,-0.32,
9239,HIP 26373 ,-0.07,0.0,0.08,
9240,HIP 59143 ,0.13,0.13,0.18,
9242,HIP 91915 ,-0.01,0.02,-0.04,
9243,HIP 26380 ,-0.17,-0.16,-0.11,
9244,HIP 26381 ,-0.37,-0.06,-0.24,
9245,HIP 26394 ,0.11,0.17,0.11,
9246,2MASS 18442696+4313400 ,-0.04,-0.07,-0.02,
9247,HIP 91936 ,-0.2,-0.26,-0.28,
9248,2MASS 19381420+4603443 ,0.29,0.21,0.23,
9249,HIP 91940 ,0.0,-0.04,-0.07,
9250,HIP 91941 ,-0.05,-0.23,-0.28,
9251,HIP 59175 ,-0.16,-0.15,-0.16,
9252,HIP 59176 ,-0.19,-0.03,-0.09,
9253,HIP 59180 ,-0.21,-0.09,-0.13,
9254,HIP 91949 ,0.22,0.29,0.33,
9255,HIP 91950 ,-0.44,-0.1,-0.14,
9256,Gaia DR2 5557345496687437696 ,0.26,0.07,0.04,
9258,HIP 59199 ,-0.3,0.05,-0.05,
9260,HIP 26437 ,0.14,0.16,0.15,
9261,2MASS 19240325+4156544 ,-0.25,-0.02,-0.04,
9262,HIP 59210 ,-0.06,0.01,0.05,
9263,BD+40 03567 ,0.27,0.24,0.22,
9264,HIP 91985 ,-0.1,-0.02,-0.15,
9265,HIP 26452 ,-0.67,-0.56,-0.55,
9266,2MASS 18484675+4631224 ,0.08,-0.08,0.07,
9267,HIP 59233 ,-0.69,-0.44,-0.59,
9269,HIP 92003 ,-0.34,-0.21,-0.3,
9270,HIP 26468 ,0.2,0.15,0.19,
9271,2MASS 19215864+4632111 ,-0.3,-0.26,0.09,
9272,HIP 59239 ,-1.4,-1.1,-1.09,
9274,HIP 26486 ,-0.26,-0.28,-0.27,
9276,HIP 92026 ,0.25,0.26,0.24,
9277,HIP 26493 ,0.05,-0.14,-0.28,
9278,2MASS 18593496+4219305 ,-0.14,-0.15,-0.31,
9279,HIP 92032 ,-0.43,-0.11,-0.04,
9280,HIP 26501 ,-0.22,-0.2,-0.2,
9281,HIP 26505 ,-0.37,-0.19,-0.21,
9282,HIP 92043 ,0.01,-0.09,0.04,
9283,BD+23 04830b ,-0.04,0.0,-0.01,
9284,HIP 59280 ,0.2,0.14,0.12,
9285,HIP 59285 ,0.11,0.22,0.25,
9286,2MASS 19102533+4931237 ,0.22,0.09,0.2,
9287,HIP 92056 ,0.14,0.04,0.01,
9288,HIP 59296 ,0.01,-0.01,0.02,
9289,HIP 92064 ,-0.26,-0.3,-0.39,
9290,HD 240051 ,0.17,0.1,0.11,
9291,HIP 59299 ,-0.24,-0.16,-0.18,
9292,HIP 26534 ,-0.03,0.03,0.01,
9294,HIP 26542 ,-0.53,-0.5,-0.52,
9296,HIP 92080 ,-0.41,-0.35,-0.42,
9298,HIP 59315 ,0.03,-0.03,-0.02,
9299,HIP 59316 ,-0.07,0.08,0.42,
9300,HIP 92086 ,-0.19,-0.07,-0.11,
9301,HIP 92088 ,-0.03,0.24,0.16,
9302,HIP 59330 ,-0.69,-0.44,-0.53,
9303,HIP 59334 ,-0.64,-0.22,-0.27,
9304,2MASS 11542612+3556059 ,-1.37,-0.88,-1.0,
9305,2MASS 19150050-1614245 ,0.09,0.07,0.04,
9306,HIP 59341 ,0.2,0.3,0.16,
9307,HIP 92116 ,-0.47,-0.34,-0.35,
9308,HIP 59357 ,-0.21,-0.18,-0.2,
9310,HIP 59367 ,0.12,0.03,-0.11,
9311,HIP 92135 ,-0.14,-0.19,-0.26,
9314,HIP 59380 ,-0.5,-0.39,-0.42,
9315,HD 190166 ,-0.29,-0.2,-0.29,
9318,2MASS 19103720+3914394 ,-0.42,-0.3,-0.25,
9319,HIP 26617 ,-0.63,-0.38,-0.42,
9320,2MASS 19264789+3808429 ,-0.08,-0.07,-0.09,
9322,HIP 92167 ,-1.34,-1.06,-1.1,
9326,HIP 26649 ,0.02,0.13,0.11,
9327,2MASS 19085788+3919579 ,0.12,0.07,0.1,
9328,HIP 59420 ,0.32,0.3,0.28,
9329,HIP 26653 ,-0.01,-0.1,-0.06,
9330,HIP 26664 ,0.3,0.34,0.28,
9332,HIP 26676 ,-1.03,-0.86,-0.92,
9333,HIP 59448 ,0.04,0.07,0.09,
9335,HIP 26688 ,-0.39,-0.45,-0.27,
9336,HIP 26689 ,-0.06,-0.05,-0.07,
9337,HIP 92226 ,-0.14,0.07,0.08,
9338,HIP 59459 ,-0.07,0.06,-0.01,
9339,HIP 26695 ,0.0,-0.02,0.13,
9340,HIP 92233 ,0.07,0.13,0.09,
9341,2MASS 06303279+2940202 ,0.21,0.2,0.2,
9342,HIP 26711 ,0.18,0.12,0.16,
9343,HIP 92250 ,-0.27,-0.14,-0.25,
9344,HIP 26722 ,0.01,-0.01,-0.02,
9345,HIP 59490 ,-1.26,-0.88,-0.67,
9346,HIP 92262 ,-0.19,-0.12,-0.18,
9348,HIP 92270 ,-0.01,-0.01,-0.04,
9349,HIP 26737 ,-0.19,-0.15,-0.18,
9351,2MASS 00204007+3159239 ,0.24,0.2,0.2,
9353,HIP 92283 ,0.08,0.09,0.2,
9354,2MASS 23341508-4203411 ,0.12,0.06,0.0,
9355,HIP 92288 ,-0.17,0.01,-0.11,
9356,BD+37 04783 ,-0.01,-0.07,-0.09,
9357,2MASS 19234667+4028481 ,0.07,0.01,-0.02,
9358,HIP 59525 ,0.38,0.25,0.26,
9359,2MASS 19073294+4228165 ,-0.14,-0.15,-0.14,
9360,HIP 59532 ,0.15,0.18,0.15,
9361,HIP 26779 ,0.13,0.12,0.09,
9362,2MASS 19120285+4607033 ,0.06,0.06,0.01,
9363,BD+33 02136 ,-0.17,-0.16,-0.24,
9364,HIP 26787 ,-0.26,-0.18,-0.24,
9366,HIP 92325 ,-0.38,-0.05,-0.25,
9367,2MASS 19385318+1625343 ,-1.09,-0.91,-0.96,
9368,HIP 26801 ,0.16,0.1,0.08,
9369,HIP 59572 ,0.23,0.14,0.14,
9371,2MASS 19215883+3847437 ,-0.04,-0.1,-0.09,
9372,HIP 92352 ,-0.23,-0.17,-0.21,
9373,HIP 59589 ,-0.09,-0.01,0.01,
9374,HIP 59590 ,-0.25,-0.22,-0.16,
9375,2MASS 18525313+4025185 ,0.18,0.21,0.2,
9376,HIP 26828 ,-0.34,-0.1,-0.16,
9377,HIP 26834 ,0.3,0.32,0.32,
9378,HIP 59610 ,-0.01,0.02,-0.08,
9380,HIP 59617 ,-0.08,-0.28,-0.39,
9381,HIP 26853 ,0.14,0.58,0.52,
9382,HIP 59625 ,0.06,-0.01,-0.07,
9384,BD+52 00277a ,0.18,0.08,0.14,
9385,2MASS 19173311+5035493 ,0.07,0.06,-0.04,
9386,HIP 59639 ,-0.07,0.01,-0.04,
9387,HIP 59642 ,0.14,0.08,0.16,
9388,HIP 59646 ,0.14,0.16,0.17,
9392,HIP 26883 ,0.12,0.14,0.14,
9393,HIP 92418 ,-0.11,-0.08,-0.13,
9394,HIP 26885 ,-0.4,-0.21,-0.26,
9395,HD 48814 ,-0.02,-0.04,0.1,
9396,HD 232942 ,0.01,0.04,-0.11,
9397,HIP 26897 ,0.22,0.33,0.26,
9398,HIP 92436 ,-0.22,-0.09,-0.16,
9399,HIP 26907 ,0.06,0.12,0.11,
9401,2MASS 06481917-0306077 ,0.04,-0.02,-0.03,
9402,HIP 59690 ,0.36,0.28,0.34,
9403,HIP 59692 ,0.54,0.39,0.49,
9404,HIP 59696 ,-0.72,-0.39,-0.47,
9406,HIP 59699 ,-0.69,-0.36,-0.55,
9407,HIP 26935 ,0.2,0.28,0.2,
9408,HIP 92472 ,-0.37,-0.1,-0.15,
9409,HIP 59707 ,0.09,0.11,0.08,
9410,HIP 59708 ,0.03,0.1,0.16,
9411,HIP 26942 ,0.12,0.01,-0.09,
9413,HIP 59728 ,0.14,0.42,0.47,
9416,2MASS 19434832+4351073 ,0.2,0.23,0.19,
9417,HD 181985 ,-0.1,0.25,0.21,
9419,HIP 59735 ,-0.44,-0.36,-0.3,
9420,2MASS 06535189+4605517 ,-1.13,-0.71,-0.78,
9421,HIP 26973 ,0.25,0.24,0.18,
9422,HIP 92512 ,-0.51,-0.3,-0.18,
9423,HIP 26977 ,-0.1,-0.02,-0.09,
9425,2MASS 15492281+1438275 ,-1.3,-1.24,-1.2,
9427,HIP 26981 ,0.1,-0.05,0.04,
9428,HIP 59750 ,-0.66,-0.34,-0.4,
9429,HIP 92519 ,-0.07,-0.05,-0.05,
9430,2MASS 19015438+4137578 ,-0.32,-0.32,-0.33,
9432,HIP 92532 ,-0.45,-0.3,-0.38,
9434,HIP 92549 ,0.14,0.32,0.25,
9435,2MASS 19470138+4659538 ,0.02,-0.01,0.01,
9436,HIP 59785 ,-0.42,-0.02,-0.15,
9438,2MASS 19213918+3820375 ,-0.03,-0.06,-0.07,
9439,HIP 59793 ,-0.2,-0.12,-0.17,
9440,HIP 92569 ,-0.14,-0.01,-0.14,
9441,BD+12 01917 ,-0.05,0.16,0.21,
9443,HIP 59806 ,-0.17,-0.08,-0.16,
9444,HD 192491 ,-0.28,-0.21,-0.21,
9446,HIP 92580 ,0.2,0.22,0.23,
9447,HIP 27046 ,-0.02,0.16,0.1,
9448,2MASS 19102162+5103380 ,-0.03,-0.09,0.02,
9449,HIP 27058 ,-0.06,0.01,-0.08,
9451,HIP 27072 ,-0.02,-0.01,0.0,
9452,HIP 27075 ,0.04,0.08,0.04,
9454,HIP 59847 ,-0.14,-0.03,-0.02,
9455,HIP 27080 ,-0.6,-0.27,-0.4,
9456,HIP 92615 ,-0.13,-0.1,-0.16,
9457,HD 14986b ,-0.2,-0.04,-0.19,
9458,HIP 59856 ,-0.09,0.03,0.09,
9459,HIP 27090 ,0.31,0.32,0.26,
9460,HIP 27091 ,-0.1,0.22,-0.01,
9461,HIP 92639 ,-0.23,-0.02,-0.09,
9462,HIP 92646 ,-0.19,-0.06,-0.09,
9463,HIP 59879 ,-0.55,-0.38,-0.38,
9464,HIP 27113 ,0.3,0.24,0.28,
9465,2MASS 17140534+1407170 ,-1.06,-0.61,-0.77,
9466,BD+34 01976 ,0.12,0.13,0.08,
9467,2MASS 19382727+4559046 ,-0.02,-0.05,-0.02,
9468,HIP 27128 ,-0.8,-0.48,-0.55,
9469,HIP 92666 ,-0.27,-0.03,-0.19,
9470,HIP 92668 ,-0.49,-0.22,-0.27,
9471,HIP 92677 ,-0.12,0.11,-0.07,
9472,2MASS 19452607+3906546 ,0.0,0.08,-0.06,
9473,HIP 92689 ,0.04,0.09,0.08,
9474,HIP 59925 ,-0.21,-0.29,-0.32,
9475,HIP 59926 ,0.13,0.16,0.15,
9476,HIP 92697 ,-0.22,-0.09,-0.14,
9478,HIP 27165 ,-0.3,-0.2,-0.21,
9480,HIP 92720 ,0.13,0.1,0.08,
9484,2MASS 19525166+4524248 ,-0.19,-0.2,-0.19,
9485,HIP 92731 ,-0.14,-0.13,-0.13,
9486,HIP 59968 ,0.33,0.37,0.32,
9488,HD 121537b ,0.0,-0.21,-0.04,
9489,HIP 92742 ,0.23,0.31,0.32,
9490,HIP 27207 ,-0.03,0.1,0.03,
9491,HIP 27212 ,0.13,0.25,0.25,
9492,HIP 27225 ,0.02,-0.1,-0.05,
9495,HIP 92771 ,-0.16,-0.1,-0.18,
9496,HIP 92775 ,-1.67,-1.4,-1.52,
9497,2MASS 19155893+4730153 ,-0.08,-0.1,-0.12,
9499,HIP 27244 ,0.07,0.08,0.07,
9500,HIP 92781 ,-0.62,-0.34,-0.41,
9501,HIP 27246 ,-0.1,-0.01,0.02,
9502,HIP 92782 ,-0.03,0.08,0.17,
9503,HIP 60016 ,0.3,0.25,0.26,
9504,HIP 60019 ,-0.38,-0.3,-0.29,
9505,HIP 27253 ,0.37,0.43,0.38,
9506,HIP 92790 ,-0.15,-0.03,-0.09,
9508,HIP 60025 ,-0.2,-0.14,-0.09,
9509,HIP 27260 ,0.02,-0.07,0.02,
9510,HIP 27263 ,0.15,0.08,-0.02,
9512,HIP 27280 ,-0.03,-0.02,0.01,
9513,HIP 27281 ,-0.22,-0.14,-0.18,
9515,HIP 60051 ,-0.47,-0.4,-0.42,
9517,HIP 92831 ,0.13,0.04,0.22,
9518,HIP 92835 ,-0.42,-0.44,-0.53,
9519,HD 192621 ,-0.13,-0.03,-0.03,
9520,HIP 27305 ,0.22,0.13,0.25,
9521,HIP 60074 ,0.01,-0.05,-0.04,
9523,HIP 92845 ,-0.14,-0.15,0.25,
9525,HIP 60081 ,0.33,0.36,0.32,
9526,HIP 92858 ,0.01,-0.08,-0.04,
9528,HIP 60094 ,0.38,0.3,0.32,
9529,HIP 60096 ,0.39,0.32,0.32,
9531,HIP 60098 ,0.26,0.34,0.27,
9532,HIP 92864 ,0.11,0.14,0.08,
9534,BD+37 04784 ,-0.24,-0.18,-0.17,
9535,HIP 92872 ,-0.12,-0.02,-0.02,
9537,HIP 92880 ,-0.06,0.02,-0.08,
9538,HIP 92881 ,-0.26,-0.11,-0.12,
9539,HIP 92882 ,0.25,0.02,0.06,
9540,HIP 92885 ,-0.01,0.01,0.07,
9542,HIP 92895 ,-0.03,0.02,-0.06,
9543,HIP 92901 ,0.23,0.08,0.06,
9546,HIP 60146 ,-0.31,-0.26,-0.32,
9547,HIP 92914 ,0.11,0.44,0.33,
9548,HIP 92918 ,0.33,0.2,0.26,
9549,HIP 92919 ,0.01,-0.09,-0.04,
9550,HIP 27384 ,0.34,0.23,0.23,
9551,HIP 92922 ,0.35,0.26,0.27,
9552,HIP 92925 ,-0.22,-0.07,-0.09,
9554,HIP 60165 ,0.1,0.35,0.14,
9555,HIP 92937 ,0.13,0.23,0.21,
9556,HIP 60172 ,-0.41,-0.02,-0.16,
9557,2MASS 19085804+4741087 ,0.12,-0.01,0.01,
9558,2MASS 18425005+4719410 ,-0.49,-0.42,-0.37,
9559,HIP 27417 ,-0.01,-0.04,-0.06,
9560,HIP 92953 ,-0.28,-0.14,-0.16,
9562,HIP 92961 ,0.13,0.09,0.08,
9563,HIP 92962 ,0.18,0.16,0.11,
9566,HIP 92969 ,0.07,0.14,0.12,
9567,HIP 60202 ,-0.24,-0.21,-0.1,
9568,HIP 27435 ,-0.19,-0.15,-0.21,
9569,HIP 92973 ,-0.52,-0.33,-0.41,
9571,HIP 60207 ,0.01,-0.13,-0.08,
9573,HIP 60210 ,-0.13,-0.04,0.0,
9574,HIP 92977 ,0.02,0.19,0.16,
9575,HD 5750 ,-0.4,-0.26,-0.3,
9577,HIP 92983 ,-0.01,-0.02,-0.09,
9578,HIP 92984 ,0.0,0.05,0.01,
9579,HIP 92986 ,0.1,0.15,0.24,
9580,HIP 60221 ,0.06,0.2,0.15,
9581,HD 18436b ,0.2,0.2,0.21,
9582,2MASS 19170954-1649540 ,0.04,-0.09,-0.04,
9583,HIP 92997 ,0.03,0.26,0.26,
9584,2MASS 19273121+4523165 ,0.06,0.02,-0.01,
9586,HIP 93007 ,0.27,0.24,0.26,
9587,2MASS 19053788+3943098 ,-0.02,0.0,-0.08,
9589,HIP 93017 ,-0.04,0.08,-0.08,
9590,HIP 27483 ,-0.13,0.04,0.04,
9591,HIP 27491 ,0.44,0.45,0.38,
9592,HIP 60260 ,-0.18,0.01,-0.09,
9593,HIP 93028 ,0.02,0.24,0.05,
9594,2MASS 18441761+4427271 ,0.05,-0.01,-0.02,
9595,HIP 60268 ,-0.58,-0.32,-0.4,
9596,HD 171439 ,-0.22,0.06,0.04,
9598,HIP 27517 ,0.13,0.25,0.19,
9599,HIP 93053 ,-0.28,-0.01,-0.07,
9600,HIP 60288 ,0.1,0.11,0.08,
9602,HIP 60292 ,-0.58,-0.15,-0.17,
9603,HIP 93062 ,-0.36,-0.34,-0.23,
9604,HIP 60299 ,-0.52,-0.44,-0.53,
9605,HIP 60304 ,-0.04,-0.02,0.06,
9606,HIP 60305 ,0.23,0.45,0.39,
9612,HIP 93085 ,0.02,0.22,0.2,
9614,HIP 93097 ,-0.22,-0.23,-0.11,
9615,HIP 60331 ,-0.56,-0.42,-0.28,
9619,HIP 27576 ,0.04,0.09,0.12,
9620,HIP 27578 ,-0.14,-0.1,-0.17,
9624,2MASS 19063085+5028165 ,0.24,0.15,0.21,
9625,HIP 60353 ,0.17,0.18,0.14,
9628,2MASS 22524104-2035331 ,-1.46,-1.4,-1.55,
9629,HIP 93137 ,-0.29,-0.3,-0.31,
9630,HIP 60370 ,0.18,0.17,0.14,
9631,HIP 27621 ,-0.1,0.01,0.03,
9632,HIP 93159 ,-0.11,0.01,-0.04,
9633,HD 279100 ,-0.36,-0.24,-0.31,
9634,2MASS 18532166+4832565 ,-0.28,-0.26,-0.24,
9635,HIP 27628 ,0.22,0.4,0.34,
9639,2MASS 19450867+4813288 ,0.11,0.06,0.1,
9641,HIP 60407 ,0.04,0.36,0.34,
9642,HIP 27641 ,0.01,-0.06,-0.08,
9643,2MASS 16264610+5102280 ,0.09,0.05,0.07,
9644,HIP 93185 ,-0.18,-0.16,-0.2,
9645,HIP 93186 ,-2.35,-0.78,-0.69,
9646,HIP 27654 ,-0.68,-0.44,-0.36,
9648,HIP 93195 ,-0.11,-0.05,-0.09,
9649,HIP 93197 ,-0.21,-0.1,-0.08,
9650,2MASS 19213425+4017055 ,-0.02,-0.06,-0.06,
9651,HIP 93203 ,-0.08,-0.12,-0.04,
9652,HIP 27673 ,0.03,0.14,0.28,
9653,BD+33 01279a ,-0.83,-0.61,-0.72,
9655,HIP 27688 ,0.23,0.16,0.21,
9657,HIP 60462 ,-0.46,-0.29,-0.38,
9658,HIP 93237 ,-0.22,-0.06,-0.08,
9659,HIP 27706 ,0.24,0.17,0.16,
9661,HIP 93244 ,0.18,0.4,0.38,
9663,HIP 60485 ,0.05,0.25,0.21,
9667,HIP 27734 ,-0.09,0.17,0.01,
9671,HIP 93281 ,0.33,0.28,0.3,
9673,HIP 93287 ,0.13,0.16,0.27,
9674,HIP 93297 ,0.22,0.13,0.18,
9675,2MASS 06484831+1709428 ,-0.01,0.01,-0.04,
9676,HIP 27766 ,-0.12,-0.08,-0.07,
9678,HIP 60551 ,-0.72,-0.52,-0.57,
9684,BD+38 03583 ,-0.16,-0.11,-0.18,
9685,HIP 93340 ,0.04,0.15,0.05,
9686,HIP 93341 ,-0.81,-0.49,-0.57,
9687,HIP 60574 ,-0.4,-0.14,-0.31,
9688,HIP 93350 ,0.0,-0.11,-0.09,
9690,HIP 60585 ,0.3,0.16,0.28,
9691,HIP 93354 ,0.02,0.16,0.25,
9692,HIP 60588 ,-0.32,-0.35,-0.23,
9694,BD+00 00316 ,0.48,0.24,0.43,
9695,HIP 27823 ,0.1,0.02,0.07,
9696,HIP 60591 ,0.57,0.58,0.61,
9697,2MASS 19200501+3838109 ,0.17,-0.04,0.01,
9698,2MASS 19154269-1633050 ,-0.01,0.08,-0.01,
9699,HIP 93373 ,-0.58,-0.27,-0.4,
9701,HIP 93375 ,0.15,0.1,0.18,
9702,HIP 93376 ,-0.14,-0.12,-0.16,
9703,HIP 93377 ,-0.03,0.0,-0.04,
9705,HIP 93385 ,0.02,0.04,0.15,
9706,HIP 93390 ,-0.09,-0.04,0.16,
9708,HD 143336 ,-0.09,-0.1,-0.1,
9709,HIP 93398 ,-0.09,-0.13,-0.09,
9710,HIP 60632 ,-1.67,-1.32,-1.36,
9711,HD 146389 ,0.12,-0.01,0.03,
9712,HIP 60641 ,0.01,-0.11,-0.17,
9713,HIP 60644 ,0.21,0.2,0.17,
9714,HIP 27878 ,-0.03,0.11,0.06,
9715,HIP 60646 ,0.08,0.25,0.24,
9718,HIP 93415 ,0.21,0.18,0.21,
9719,HIP 93418 ,0.12,0.19,0.25,
9721,HIP 27887 ,-0.28,-0.12,-0.27,
9722,HD 113195 ,-0.1,0.09,0.13,
9723,HIP 27890 ,0.12,0.22,0.27,
9725,HIP 93427 ,-0.03,-0.03,-0.06,
9726,HIP 93429 ,-0.08,0.09,0.14,
9727,HIP 27896 ,0.07,0.17,0.12,
9728,2MASS 19165219+4753040 ,-0.29,-0.24,-0.22,
9730,HIP 93439 ,-0.11,-0.01,-0.03,
9732,HIP 27910 ,0.05,0.0,0.05,
9734,HIP 27913 ,0.02,0.02,0.0,
9735,HIP 93453 ,-0.48,-0.19,-0.29,
9736,HIP 27918 ,-0.06,-0.09,-0.01,
9737,HIP 93455 ,0.22,0.15,0.22,
9738,HIP 27922 ,-0.43,-0.36,-0.43,
9739,HIP 27923 ,0.15,0.2,0.13,
9740,HIP 93462 ,-0.32,-0.39,-0.47,
9741,HIP 27928 ,-0.74,-0.68,-0.83,
9742,HIP 93466 ,-0.18,-0.07,-0.1,
9744,HIP 27932 ,0.13,-0.08,-0.16,
9747,HIP 60719 ,-2.32,-1.61,-1.88,
9749,2MASS 19442497+4220334 ,0.31,0.26,0.14,
9750,HD 279099 ,-0.35,-0.31,-0.36,
9751,HIP 60729 ,0.14,0.19,0.15,
9752,HIP 93498 ,0.24,0.53,0.47,
9753,HIP 93499 ,-0.29,-0.16,-0.22,
9755,2MASS 19213508+4102242 ,0.03,0.05,0.03,
9756,HIP 93507 ,-0.69,-0.36,-0.53,
9757,2MASS 19262436+4806163 ,-0.11,-0.2,-0.15,
9758,HIP 60742 ,0.14,0.32,0.34,
9759,HIP 93511 ,-0.22,-0.12,-0.22,
9760,HIP 60747 ,-0.84,-0.47,-0.59,
9761,HIP 27980 ,0.2,0.17,0.14,
9762,HIP 93518 ,-0.06,-0.14,-0.16,
9763,HIP 60753 ,0.13,0.06,0.09,
9766,2MASS 19194017+4049430 ,-0.09,-0.06,-0.06,
9767,2MASS 18553242+4738139 ,-0.37,-0.24,-0.23,
9768,HIP 93540 ,0.09,0.07,0.05,
9769,HIP 28010 ,0.16,0.51,0.5,
9770,HIP 28011 ,0.24,0.51,0.45,
9771,HIP 93547 ,0.3,0.38,0.36,
9773,HIP 60788 ,0.06,0.07,0.1,
9774,2MASS 19151486+3946143 ,-0.04,-0.1,-0.07,
9775,HIP 28029 ,0.11,0.01,-0.12,
9776,HIP 93570 ,-0.15,-0.29,-0.38,
9777,HIP 93571 ,-0.26,-0.16,-0.27,
9779,HIP 60808 ,0.04,-0.03,-0.02,
9781,HIP 28044 ,-0.03,0.1,-0.01,
9782,HIP 60816 ,0.08,0.13,0.01,
9785,HIP 93589 ,0.01,0.09,0.06,
9786,HIP 60825 ,-0.6,-0.42,-0.58,
9788,HIP 28066 ,-0.11,0.12,-0.02,
9789,HIP 93607 ,0.25,0.28,0.21,
9790,2MASS 19260620+3802366 ,0.0,-0.1,-0.06,
9791,HD 162483 ,-0.86,-0.5,-0.69,
9792,HIP 93620 ,-0.11,-0.1,-0.14,
9794,HIP 60853 ,-0.96,-0.62,-0.83,
9795,HIP 93623 ,-0.7,-0.3,-0.46,
9797,2MASS 19004979+4523036 ,0.1,0.05,0.06,
9799,2MASS 19132885+4321165 ,-0.06,-0.06,-0.1,
9800,HIP 60870 ,0.06,0.17,0.04,
9802,HIP 28104 ,-2.14,-1.86,-2.06,
9803,HIP 93639 ,-0.1,-0.08,-0.18,
9804,2MASS 18530131+4821188 ,0.33,0.27,0.26,
9806,2MASS 19134024+4635255 ,-0.11,-0.09,-0.13,
9807,HIP 93653 ,-0.35,0.04,0.01,
9808,HIP 93657 ,0.08,0.05,-0.01,
9809,2MASS 14123457+4700528 ,0.32,0.27,0.33,
9810,HIP 28139 ,0.17,0.32,0.32,
9812,HIP 93683 ,0.05,0.11,0.13,
9813,HIP 93685 ,-0.08,-0.09,-0.07,
9814,HIP 28150 ,-0.04,-0.02,-0.02,
9815,2MASS 19025086+4942239 ,-0.06,0.0,-0.03,
9816,HIP 93690 ,-0.04,0.25,0.15,
9817,HIP 28159 ,-0.39,-0.06,-0.17,
9818,B-03 02978 ,-0.26,-0.14,-0.15,
